"Relatório de Faturamento"
Período;"2026-01-01 a 2026-12-31"
"Base temporal";due
Cliente;Todos
Status;Todos

Cliente;Documento;Descrição;Emissão;Vencimento;Status;"Valor Original";Juros;"Valor Atualizado";"Valor Pago"
"Diana Elis Vieira";232.617.455-62;"Libero voluptatem odio praesentium.";02/11/2025;01/01/2026;Pago;17.568,93;0,00;17.568,93;14.253,76
"Srta. Patrícia Fidalgo Pedrosa";266.201.392-61;"Dolore ut possimus qui natus eligendi.";09/11/2025;01/01/2026;Pago;7.512,72;0,00;7.512,72;7.303,23
"Sr. Emerson Oliveira Fidalgo Sobrinho";941.529.253-40;"Quia et et facilis.";30/11/2025;01/01/2026;Pago;12.106,20;0,00;12.106,20;13.557,01
"Heitor Lutero Sobrinho";600.682.361-21;"Provident voluptas perspiciatis.";12/11/2025;01/01/2026;Pago;9.701,75;0,00;9.701,75;9.261,84
"Srta. Naiara Rezende Fontes Filho";964.907.529-66;"Totam voluptatum rerum in quibusdam minima.";03/11/2025;01/01/2026;Pago;8.916,76;0,00;8.916,76;3.123,14
"Dr. Melina Queirós";174.272.761-96;"Rerum voluptatum dignissimos et.";10/11/2025;01/01/2026;Pago;523,37;0,00;523,37;4.233,30
"Sophie Vasques Sobrinho";271.084.243-54;"Id aut dolores assumenda necessitatibus facere.";09/12/2025;01/01/2026;Pago;6.519,44;0,00;6.519,44;17.790,69
"Dr. Gael Esteves";459.137.185-77;"Dicta temporibus ea est.";30/11/2025;01/01/2026;Pago;3.272,68;0,00;3.272,68;12.479,20
"Sandro Escobar Zambrano Jr.";631.688.317-78;"Voluptates dolor at libero odio veniam.";24/11/2025;01/01/2026;Pago;7.941,48;0,00;7.941,48;6.805,53
"Thalissa Escobar";043.006.138-82;"Quia eos sed.";09/12/2025;01/01/2026;Pago;9.015,21;0,00;9.015,21;13.296,86
"Dr. Deivid Maia Rios";476.385.676-31;"Optio doloribus possimus vero sunt.";13/12/2025;01/01/2026;Pago;3.931,84;0,00;3.931,84;3.457,11
"Sra. Ingrid Sara Azevedo Neto";901.521.044-03;"Dolorem veniam exercitationem.";12/12/2025;01/01/2026;Pago;4.861,09;0,00;4.861,09;6.185,23
"Sr. Flávio Inácio Grego";947.163.379-40;"Ratione saepe necessitatibus autem.";16/12/2025;01/01/2026;Pago;8.706,93;0,00;8.706,93;11.810,51
"Allan Maximiano Cervantes";841.056.140-08;"Impedit necessitatibus aut dolorem.";12/12/2025;01/01/2026;Pago;17.427,45;0,00;17.427,45;13.910,05
"Eduardo Verdugo Rocha";378.783.449-55;"Dolor aut aliquam totam asperiores labore.";04/11/2025;01/01/2026;Pago;15.388,56;0,00;15.388,56;5.090,43
"Dr. Jerônimo Carvalho Lira";375.985.049-36;"Sequi pariatur inventore dolorum corporis vitae.";01/12/2025;01/01/2026;Pago;2.329,42;0,00;2.329,42;7.501,87
"Dr. Valentin Ramos Verdara";310.776.129-39;"Quas quisquam et molestiae dicta.";07/11/2025;01/01/2026;Pago;14.770,04;0,00;14.770,04;15.346,52
"Dr. Irene Gusmão Grego Filho";113.123.534-92;"Facilis reprehenderit neque non beatae earum.";12/12/2025;01/01/2026;Pago;10.157,20;0,00;10.157,20;10.803,28
"Srta. Agatha Quintana Queirós Jr.";211.933.393-46;"Voluptas possimus eos ut.";13/12/2025;01/01/2026;Pago;3.040,89;0,00;3.040,89;16.274,68
"Tatiane Soto Jr.";700.758.684-16;"Explicabo assumenda provident placeat laborum.";28/11/2025;01/01/2026;Pago;9.804,43;0,00;9.804,43;594,23
"Sra. Flor Bezerra Brito";836.473.983-89;"Quia officia sunt dolorum itaque.";26/11/2025;01/01/2026;Pago;10.562,09;0,00;10.562,09;12.950,33
"Ian Emanuel Prado Filho";686.926.573-30;"Autem architecto ut mollitia sunt.";29/11/2025;01/01/2026;Pago;2.983,66;0,00;2.983,66;5.886,22
"Sheila Milene Fidalgo";667.371.412-25;"Voluptatem vel aperiam omnis facere.";16/11/2025;02/01/2026;Pago;2.263,73;0,00;2.263,73;2.711,74
"Isabelly Giovana Branco Neto";252.559.506-85;"Omnis facere tempora et.";17/12/2025;02/01/2026;Pago;9.529,79;0,00;9.529,79;7.487,42
"Arthur Ferreira";185.671.085-00;"Ad sunt perferendis ipsum saepe.";02/12/2025;02/01/2026;Pago;15.741,73;0,00;15.741,73;3.446,72
"Milene Flor Leon";256.189.710-92;"Architecto illo corrupti odio.";05/11/2025;02/01/2026;Pago;11.749,93;0,00;11.749,93;10.512,88
"Simão Arruda Neto";640.619.006-36;"Aut dolores nostrum est.";10/11/2025;02/01/2026;Pago;10.121,80;0,00;10.121,80;11.396,90
"Melissa Ohana Ortiz Neto";015.429.848-37;"Nisi tempore maiores dicta enim.";25/11/2025;02/01/2026;Pago;15.639,08;0,00;15.639,08;5.666,65
"Cristina Cortês";791.400.095-39;"Aspernatur voluptatum et nisi quas sit.";19/11/2025;02/01/2026;Pago;8.326,82;0,00;8.326,82;9.579,66
"Srta. Thalissa de Aguiar Jr.";914.774.991-47;"Vel voluptatem quos suscipit omnis et.";17/11/2025;02/01/2026;Pago;19.597,64;0,00;19.597,64;2.797,93
"Dr. Luan Pedrosa Sobrinho";732.782.004-45;"Laboriosam veritatis eum aliquam perferendis.";15/11/2025;02/01/2026;Pago;7.182,40;0,00;7.182,40;15.867,33
"Isadora Olga Valência Sobrinho";277.783.862-73;"Aut aperiam in architecto.";24/11/2025;02/01/2026;Pago;9.892,14;0,00;9.892,14;9.049,93
"Enzo Perez Faro Sobrinho";374.338.174-92;"Cum libero est.";14/12/2025;02/01/2026;Pago;8.170,33;0,00;8.170,33;4.679,95
"Sarah Bonilha Verdara";992.863.727-85;"Debitis hic consequuntur sit similique.";10/12/2025;02/01/2026;Pago;287,53;0,00;287,53;6.134,68
"Roberta Maldonado Jr.";254.559.188-49;"Corporis ut accusantium qui officiis in.";26/11/2025;02/01/2026;Pago;954,08;0,00;954,08;18.792,56
"Fernanda Josefina Casanova Jr.";554.699.568-77;"Doloribus est sit aut officiis.";11/12/2025;02/01/2026;Pago;10.523,40;0,00;10.523,40;17.059,33
"Dr. Caio Manuel Salas Neto";758.339.316-23;"Id unde est.";18/12/2025;02/01/2026;Pago;14.501,03;0,00;14.501,03;15.615,74
"Miriam Garcia Neto";321.438.940-45;"Quasi nostrum numquam voluptatum accusantium.";13/12/2025;02/01/2026;Pago;12.065,86;0,00;12.065,86;15.269,01
"Márcia Cruz";424.162.702-75;"Qui dignissimos neque qui eum.";24/11/2025;02/01/2026;Pago;14.780,12;0,00;14.780,12;4.475,81
"Sra. Daiane Faro";470.142.485-09;"At inventore est aut sapiente temporibus.";20/11/2025;02/01/2026;Pago;1.209,96;0,00;1.209,96;826,75
"Sarah Alessandra Montenegro";357.981.892-77;"Rem molestiae sed.";10/11/2025;02/01/2026;Pago;594,75;0,00;594,75;5.391,44
"Sra. Lilian Danielle Barros";009.125.066-56;"Sint autem exercitationem praesentium.";12/11/2025;02/01/2026;Pago;3.469,40;0,00;3.469,40;952,60
"Marcelo Souza";383.815.705-20;"Eos cum et.";05/12/2025;02/01/2026;Pago;16.502,16;0,00;16.502,16;6.276,66
"Sr. Thales Natan Madeira Sobrinho";846.350.737-59;"Qui voluptatum dolores.";24/11/2025;02/01/2026;Pago;2.351,50;0,00;2.351,50;12.643,50
"Dr. Thiago Sandro Santacruz";252.277.670-74;"Ea veniam autem.";12/12/2025;02/01/2026;Pago;17.388,56;0,00;17.388,56;5.266,28
"Sr. Robson Saraiva";072.722.708-76;"Illum dicta id libero quia.";07/11/2025;02/01/2026;Pago;3.926,81;0,00;3.926,81;16.127,69
"Sra. Thalissa Elizabeth Saito Filho";132.301.068-46;"Dolor sit dolor eum quo.";07/12/2025;02/01/2026;Pago;19.344,47;0,00;19.344,47;16.885,82
"Sr. Daniel Leon";600.070.853-77;"Libero qui dolorem vel.";05/11/2025;02/01/2026;Pago;17.729,62;0,00;17.729,62;10.494,61
"Luzia Torres Ferreira Jr.";257.518.946-04;"Perspiciatis qui laborum rerum nihil.";11/12/2025;02/01/2026;Pago;18.346,14;0,00;18.346,14;3.904,44
"Gabi Zamana da Rosa";090.797.295-57;"Officia dolor voluptatem quam.";17/12/2025;02/01/2026;Pago;2.247,15;0,00;2.247,15;4.881,15
"Mariana da Silva Ortiz";375.470.603-11;"Sit quisquam est sed.";30/11/2025;02/01/2026;Pago;430,85;0,00;430,85;4.362,86
"Christian Eric Furtado Sobrinho";732.625.940-36;"Temporibus tempore vero architecto deserunt tempora.";03/11/2025;02/01/2026;Pago;19.680,22;0,00;19.680,22;1.966,28
"Dr. Gilberto Salgado Neto";539.485.143-09;"Architecto laudantium aliquam et.";10/12/2025;02/01/2026;Pago;4.716,66;0,00;4.716,66;7.888,26
"Arthur Carmona Paes";874.727.499-69;"Voluptatem saepe voluptatum est quasi.";21/11/2025;02/01/2026;Pago;10.721,38;0,00;10.721,38;11.540,00
"Joaquin Souza";848.278.015-24;"Sit accusantium totam.";13/12/2025;02/01/2026;Pago;817,87;0,00;817,87;5.406,76
"Inácio Correia Camacho Jr.";738.719.166-34;"Nihil quia recusandae sunt unde.";23/11/2025;02/01/2026;Pago;11.651,28;0,00;11.651,28;18.758,85
"Dr. Felipe Marés Carvalho Jr.";720.878.832-98;"Voluptas illum ipsa ipsa possimus.";17/12/2025;02/01/2026;Pago;3.510,86;0,00;3.510,86;19.633,00
"Srta. Hortência Salgado Dominato";759.837.592-10;"Voluptatum nulla et voluptatum.";05/12/2025;02/01/2026;Pago;10.682,67;0,00;10.682,67;17.258,96
"Dr. Jerônimo Caio da Rosa Jr.";900.246.622-41;"Ipsum porro blanditiis natus.";15/11/2025;02/01/2026;Pago;3.060,14;0,00;3.060,14;1.730,07
"Sarah Alessandra Montenegro";357.981.892-77;"Eos nulla velit vitae est.";14/12/2025;02/01/2026;Pago;6.797,50;0,00;6.797,50;3.371,96
"Caroline Camacho Filho";749.807.565-21;"Soluta consequatur vitae et est cum.";08/11/2025;03/01/2026;Pago;15.241,55;0,00;15.241,55;2.784,70
"Dr. Sabrina Sales Bezerra";379.177.184-18;"Quasi provident occaecati rerum.";26/11/2025;03/01/2026;Pago;17.443,10;0,00;17.443,10;14.863,07
"Eric Horácio Sales Sobrinho";906.225.563-57;"Facere neque consequatur facilis.";18/12/2025;03/01/2026;Pago;6.874,00;0,00;6.874,00;11.408,49
"Camila Ortega Pedrosa";628.484.820-35;"Eaque amet est doloremque.";10/11/2025;03/01/2026;Pago;3.477,89;0,00;3.477,89;7.172,85
"Alana Quintana Neto";315.965.029-13;"Voluptatem aspernatur doloribus facilis temporibus velit.";08/11/2025;03/01/2026;Pago;1.551,99;0,00;1.551,99;7.615,84
"Dr. Elisa Tâmara Cruz Neto";017.125.677-26;"Ratione est id qui tempora.";30/11/2025;03/01/2026;Pago;9.018,31;0,00;9.018,31;5.305,05
"Dr. Pedro Abreu Quintana Filho";111.750.616-68;"Voluptate expedita quis nam nesciunt.";15/11/2025;03/01/2026;Pago;12.495,44;0,00;12.495,44;881,29
"Sr. Flávio Leo Vega";753.271.957-89;"Et sit quos et est sit.";06/12/2025;03/01/2026;Pago;6.471,27;0,00;6.471,27;15.985,68
"Dr. Pablo Serna Zambrano Jr.";200.994.396-71;"Molestiae illum ut.";11/12/2025;03/01/2026;Pago;3.296,48;0,00;3.296,48;1.859,23
"Isadora Olga Valência Sobrinho";277.783.862-73;"Voluptate molestiae sed aperiam veritatis.";26/11/2025;03/01/2026;Pago;10.786,72;0,00;10.786,72;19.858,13
"Pietra Bittencourt Neto";299.052.319-72;"Ut quos enim quibusdam.";16/11/2025;03/01/2026;Pago;11.036,71;0,00;11.036,71;15.675,94
"David Maicon Estrada Filho";348.817.741-30;"Sed accusamus et vel quo voluptas.";05/12/2025;03/01/2026;Pago;8.508,32;0,00;8.508,32;17.210,13
"Marisa Manuela Pena";779.433.381-64;"Voluptas vero consectetur inventore.";11/12/2025;03/01/2026;Pago;19.097,87;0,00;19.097,87;12.697,50
"Edson Nicolas Matias";724.070.010-34;"Non qui iure eos vitae enim.";09/11/2025;03/01/2026;Pago;17.966,66;0,00;17.966,66;11.770,64
"Srta. Maitê Sara Galindo";051.698.620-20;"Eaque necessitatibus repellat et.";21/11/2025;03/01/2026;Pago;6.881,60;0,00;6.881,60;16.948,46
"William Thiago Santana";403.210.957-35;"Corrupti magni ratione voluptas.";17/11/2025;03/01/2026;Pago;921,87;0,00;921,87;812,22
"Allison Késia Vila";251.945.400-71;"Et enim aspernatur voluptatem.";27/11/2025;03/01/2026;Pago;1.323,66;0,00;1.323,66;10.938,49
"Srta. Heloise Allison Vieira";554.439.666-68;"Voluptas maiores quo quos.";15/11/2025;03/01/2026;Pago;14.622,75;0,00;14.622,75;11.510,37
"Sabrina Pietra Escobar Neto";447.305.447-10;"Numquam tempora nisi.";17/11/2025;03/01/2026;Pago;15.152,72;0,00;15.152,72;10.024,93
"Srta. Norma Santana Leon Filho";416.396.083-93;"Quis velit cupiditate qui expedita.";26/11/2025;03/01/2026;Pago;16.028,76;0,00;16.028,76;4.745,45
"Dr. Eduardo Wilson Ferminiano";728.384.194-49;"Maxime quia pariatur qui.";17/11/2025;03/01/2026;Pago;18.134,03;0,00;18.134,03;3.107,45
"Sr. Benjamin Maia Sobrinho";378.508.590-78;"Laudantium neque nisi occaecati.";11/12/2025;03/01/2026;Pago;15.929,27;0,00;15.929,27;4.876,31
"Dr. Giovane Fábio Zambrano Sobrinho";934.944.990-22;"Non quae iure.";13/12/2025;03/01/2026;Pago;13.578,70;0,00;13.578,70;12.378,13
"Dr. Alexandre Delvalle";465.062.149-83;"Enim adipisci dolorem.";14/11/2025;03/01/2026;Pago;732,02;0,00;732,02;1.243,53
"Dr. Ivan Madeira Saito";692.460.183-52;"Repellendus expedita laudantium natus rerum id.";02/12/2025;03/01/2026;Pago;15.469,31;0,00;15.469,31;11.520,21
"Sra. Stella Paz";921.553.974-05;"Et quia rerum voluptatem molestiae fuga.";15/12/2025;03/01/2026;Pago;10.152,69;0,00;10.152,69;14.612,45
"Artur Antônio Matos";031.971.748-61;"Dolorem minus id fugiat est atque.";10/11/2025;03/01/2026;Pago;1.033,25;0,00;1.033,25;18.668,68
"Sra. Nádia Vega Jimenes";291.346.587-13;"Aperiam vero autem et non.";21/11/2025;03/01/2026;Pago;3.553,72;0,00;3.553,72;13.530,41
"Irene Elis Azevedo Jr.";793.470.339-86;"Perspiciatis et aut libero doloribus.";17/12/2025;03/01/2026;Pago;4.215,05;0,00;4.215,05;7.508,86
"Dr. Evandro Molina Neto";669.116.408-54;"Eum illo magni a esse.";05/11/2025;03/01/2026;Pago;16.438,25;0,00;16.438,25;16.488,24
"Renato Vale Rangel Jr.";433.599.767-59;"Quo sequi sit.";16/12/2025;03/01/2026;Pago;13.642,01;0,00;13.642,01;7.630,13
"Samuel Máximo Maia Neto";116.358.697-91;"Qui at repellendus tempora.";11/12/2025;03/01/2026;Pago;9.589,57;0,00;9.589,57;15.656,78
"Yuri Serra Sobrinho";516.813.279-85;"Iste sed qui occaecati labore.";19/12/2025;03/01/2026;Pago;6.720,51;0,00;6.720,51;14.740,61
"Thiago Bonilha Brito";706.138.485-54;"Ipsum occaecati eum ut et optio.";14/11/2025;03/01/2026;Pago;12.095,75;0,00;12.095,75;19.153,38
"Dr. Clara Tábata Pontes Neto";733.663.325-58;"Voluptatem praesentium laudantium.";10/11/2025;03/01/2026;Pago;3.865,45;0,00;3.865,45;6.393,55
"Dr. Karine Duarte Tamoio";851.969.902-08;"Numquam ab est repellat.";19/11/2025;03/01/2026;Pago;10.688,29;0,00;10.688,29;1.295,05
"Srta. Iasmin Verdugo Sobrinho";766.550.955-67;"Repellendus suscipit amet.";28/11/2025;03/01/2026;Pago;19.261,85;0,00;19.261,85;19.822,47
"William Furtado Rezende";485.760.144-13;"Sed ullam ad nostrum illum.";23/11/2025;03/01/2026;Pago;7.336,45;0,00;7.336,45;12.264,34
"Estêvão Benez";037.126.521-41;"Vel dicta repellat fuga quia.";13/11/2025;03/01/2026;Pago;13.045,41;0,00;13.045,41;5.341,66
"Sr. Kléber Rico Neto";088.698.918-32;"Qui consectetur nostrum qui.";19/12/2025;03/01/2026;Pago;8.634,71;0,00;8.634,71;2.340,21
"Sr. Henrique Pedrosa Neto";379.376.105-67;"Reiciendis odio dignissimos maxime sunt.";30/11/2025;03/01/2026;Pago;18.825,04;0,00;18.825,04;4.835,25
"Andréa Barros Pontes";978.142.234-25;"Voluptatem consequuntur ullam libero officia aut.";29/11/2025;03/01/2026;Pago;2.195,32;0,00;2.195,32;13.981,43
"Ítalo Bittencourt Alcantara Filho";929.510.584-48;"Error laudantium voluptatum.";25/11/2025;03/01/2026;Pago;4.209,28;0,00;4.209,28;8.041,78
"Dayane Ariane Beltrão";546.090.634-92;"Dolor beatae aperiam distinctio.";11/12/2025;03/01/2026;Pago;758,68;0,00;758,68;10.716,20
"Caio Grego Brito Jr.";733.082.092-61;"Doloribus numquam consequatur nesciunt minus.";22/11/2025;03/01/2026;Pago;3.350,02;0,00;3.350,02;10.921,85
"Christian Bruno Guerra";773.743.249-41;"Quo est repellat.";06/11/2025;03/01/2026;Pago;1.063,96;0,00;1.063,96;641,70
"Naomi Serrano Godói";353.651.827-61;"Vero incidunt autem odit.";28/11/2025;03/01/2026;Pago;19.636,41;0,00;19.636,41;9.310,56
"Sr. Téo Lovato Lira";318.557.363-54;"Qui aut laudantium.";06/11/2025;03/01/2026;Pago;5.510,41;0,00;5.510,41;254,97
"Théo Ian Duarte Filho";445.896.845-94;"Dolores soluta nostrum quaerat.";13/12/2025;03/01/2026;Pago;3.821,96;0,00;3.821,96;7.514,54
"Horácio Godói Neto";811.518.248-46;"Non omnis ullam corporis.";18/11/2025;03/01/2026;Pago;19.885,12;0,00;19.885,12;9.212,57
"Dr. Yohanna Melinda Perez";979.371.968-37;"Necessitatibus necessitatibus totam numquam et.";07/12/2025;03/01/2026;Pago;19.707,77;0,00;19.707,77;7.195,71
"Daniel Zamana Benites";562.746.565-35;"Dolorem vitae iusto.";17/11/2025;04/01/2026;Pago;6.545,05;0,00;6.545,05;15.688,15
"Manoela Ávila Medina";448.646.363-60;"A quisquam omnis nesciunt est harum.";03/12/2025;04/01/2026;Pago;3.244,50;0,00;3.244,50;16.345,82
"Adriele Bittencourt Garcia Neto";602.654.527-31;"Quisquam doloremque reiciendis consequatur.";12/11/2025;04/01/2026;Pago;3.132,26;0,00;3.132,26;2.921,86
"Dr. Ivana Burgos";118.571.925-06;"Omnis nam ut a atque.";15/12/2025;04/01/2026;Pago;8.586,15;0,00;8.586,15;9.302,45
"Sra. Lilian Angélica Amaral";535.373.576-82;"Officiis reiciendis reprehenderit perspiciatis et eum.";01/12/2025;04/01/2026;Pago;4.984,55;0,00;4.984,55;3.370,00
"Sr. Renato Vila Ferreira";234.664.316-56;"Quibusdam mollitia et amet in officia.";19/12/2025;04/01/2026;Pago;4.633,64;0,00;4.633,64;12.843,78
"Dr. Aparecida Quintana";839.670.353-12;"Rerum veritatis facilis voluptas animi error.";13/11/2025;04/01/2026;Pago;14.369,17;0,00;14.369,17;192,63
"Dr. Nayara Regina Salazar Sobrinho";976.357.416-44;"Rerum et sit.";04/12/2025;04/01/2026;Pago;2.542,43;0,00;2.542,43;3.506,73
"Bárbara Madeira Sobrinho";239.073.633-51;"Consectetur illo facilis odio facere.";20/12/2025;04/01/2026;Pago;19.802,75;0,00;19.802,75;16.412,29
"Isadora Mary Alves";839.900.991-39;"Repellendus quam quia assumenda officiis corrupti.";12/12/2025;04/01/2026;Pago;13.935,24;0,00;13.935,24;18.083,75
"Leandro Casanova Guerra";522.924.759-04;"Dolores ducimus et nihil debitis.";09/12/2025;04/01/2026;Pago;8.996,02;0,00;8.996,02;13.743,70
"Eloah Abgail Gonçalves";871.133.871-16;"Sunt at voluptate fugiat odit.";10/11/2025;04/01/2026;Pago;11.873,61;0,00;11.873,61;13.164,57
"Márcio Joaquim Alcantara";005.096.107-42;"Est ipsa eveniet deleniti quia.";07/11/2025;04/01/2026;Pago;12.683,62;0,00;12.683,62;6.774,14
"Dr. Thomas Dante Rico";252.426.183-80;"Et eaque ratione assumenda.";19/11/2025;04/01/2026;Pago;16.243,07;0,00;16.243,07;4.704,35
"Sr. Mário das Neves Jr.";253.605.525-41;"Dolorem inventore velit reiciendis excepturi.";03/12/2025;04/01/2026;Pago;11.810,99;0,00;11.810,99;843,68
"Emília Violeta Salas Sobrinho";575.174.628-99;"Neque molestiae nostrum quasi.";23/11/2025;04/01/2026;Pago;122,07;0,00;122,07;19.242,10
"Sra. Alessandra Espinoza Filho";252.522.345-98;"Atque optio id rerum corporis.";01/12/2025;04/01/2026;Pago;15.959,84;0,00;15.959,84;7.455,97
"Malu Raissa Solano";728.918.518-63;"Delectus unde quasi deleniti.";15/12/2025;04/01/2026;Pago;18.219,74;0,00;18.219,74;6.469,49
"Dr. Henrique Eric Alcantara Sobrinho";842.974.879-16;"Tempora debitis et numquam.";05/12/2025;04/01/2026;Pago;5.387,69;0,00;5.387,69;12.048,29
"Srta. Cristiana Salgado";943.966.018-09;"Et ex non suscipit qui non.";05/11/2025;04/01/2026;Pago;1.418,43;0,00;1.418,43;15.877,85
"Sr. Ícaro Juliano Jimenes";667.592.014-46;"Aperiam et quos nihil possimus.";01/12/2025;04/01/2026;Pago;19.231,50;0,00;19.231,50;2.190,54
"Dr. Raissa Gabrielly Carmona Filho";539.814.171-39;"Quo natus aspernatur.";11/11/2025;04/01/2026;Pago;15.073,02;0,00;15.073,02;12.009,34
"Dr. Vanessa Amélia de Arruda Neto";000.900.920-75;"Minima qui unde.";28/11/2025;04/01/2026;Pago;16.410,12;0,00;16.410,12;10.554,49
"Dr. Pietra Isabella Bezerra";784.259.206-16;"Officiis minima praesentium fugit alias dicta.";27/11/2025;04/01/2026;Pago;9.167,00;0,00;9.167,00;17.386,77
"Benjamin Martines";177.040.038-55;"Voluptatem commodi voluptatem veritatis.";08/11/2025;04/01/2026;Pago;6.194,89;0,00;6.194,89;159,96
"Dr. Bernardo Yuri Serra";854.591.736-75;"Ab sequi voluptatum.";17/11/2025;04/01/2026;Pago;18.510,40;0,00;18.510,40;7.384,39
"Flor Emanuelly Sanches";762.417.794-58;"Quod perspiciatis quam impedit.";23/11/2025;04/01/2026;Pago;5.958,39;0,00;5.958,39;12.633,10
"Dr. Bianca Lutero";234.520.534-25;"Quia aperiam soluta praesentium sed.";09/12/2025;04/01/2026;Pago;17.983,07;0,00;17.983,07;12.049,64
"Dr. Edilson Santacruz Reis";637.426.933-33;"Rerum nobis fugit id.";10/11/2025;04/01/2026;Pago;12.647,19;0,00;12.647,19;4.780,92
"Sr. Matheus Valentin Rocha";902.281.720-27;"Soluta optio dicta qui.";24/11/2025;04/01/2026;Pago;14.083,86;0,00;14.083,86;12.175,46
